"timeMillisSpent","score"
3650,"-12hard/14medium/2414soft"
3665,"-8hard/14medium/2394soft"
3666,"-8hard/28medium/2348soft"
3666,"-8hard/42medium/2262soft"
3667,"-8hard/57medium/2160soft"
3692,"-4hard/20medium/1538soft"
3718,"-4hard/20medium/1675soft"
3718,"-4hard/20medium/1690soft"
3746,"-4hard/28medium/1575soft"
3760,"-4hard/33medium/1531soft"
3760,"-4hard/33medium/1537soft"
3777,"-4hard/33medium/1580soft"
3782,"0hard/20medium/1478soft"
3814,"0hard/33medium/1475soft"
3860,"0hard/33medium/1602soft"
3999,"0hard/33medium/1606soft"
4002,"0hard/33medium/1612soft"
4017,"0hard/40medium/1601soft"
4018,"0hard/40medium/1615soft"
4070,"0hard/40medium/1629soft"
4094,"0hard/40medium/1630soft"
4095,"0hard/40medium/1635soft"
4095,"0hard/40medium/1640soft"
4098,"0hard/40medium/1644soft"
4104,"0hard/40medium/1663soft"
4104,"0hard/40medium/1668soft"
4123,"0hard/42medium/1674soft"
4158,"0hard/42medium/1675soft"
4160,"0hard/42medium/1689soft"
4161,"0hard/42medium/1694soft"
4165,"0hard/42medium/1704soft"
4180,"0hard/42medium/1720soft"
4183,"0hard/42medium/1735soft"
4200,"0hard/42medium/1744soft"
4204,"0hard/42medium/1758soft"
4215,"0hard/50medium/1768soft"
4298,"0hard/50medium/1783soft"
4299,"0hard/50medium/1798soft"
4310,"0hard/50medium/1815soft"
4325,"0hard/50medium/1839soft"
4328,"0hard/50medium/1840soft"
4338,"0hard/50medium/1854soft"
4393,"0hard/50medium/1864soft"
4401,"0hard/50medium/1900soft"
4402,"0hard/50medium/1908soft"
4519,"0hard/50medium/1916soft"
4526,"0hard/50medium/1924soft"
4526,"0hard/50medium/1930soft"
4561,"0hard/57medium/1926soft"
4590,"0hard/57medium/1937soft"
4625,"0hard/57medium/1943soft"
4670,"0hard/57medium/1960soft"
4672,"0hard/57medium/1966soft"
4767,"0hard/57medium/1967soft"
4796,"0hard/57medium/1980soft"
4803,"0hard/57medium/1986soft"
4806,"0hard/57medium/1991soft"
4822,"0hard/57medium/1992soft"
4830,"0hard/57medium/1997soft"
4830,"0hard/57medium/2011soft"
4861,"0hard/57medium/2020soft"
4953,"0hard/57medium/2028soft"
4991,"0hard/57medium/2032soft"
5004,"0hard/57medium/2046soft"
5033,"0hard/57medium/2048soft"
5045,"0hard/60medium/2042soft"
5232,"0hard/60medium/2077soft"
5591,"0hard/60medium/2082soft"
5597,"0hard/60medium/2106soft"
5598,"0hard/60medium/2126soft"
5838,"0hard/60medium/2127soft"
5879,"0hard/60medium/2135soft"
5975,"0hard/60medium/2136soft"
5976,"0hard/60medium/2156soft"
6090,"0hard/60medium/2160soft"
6128,"0hard/60medium/2174soft"
6129,"0hard/60medium/2194soft"
6241,"0hard/66medium/2136soft"
6477,"0hard/66medium/2142soft"
6485,"0hard/66medium/2147soft"
6729,"0hard/66medium/2156soft"
6778,"0hard/66medium/2157soft"
6857,"0hard/66medium/2161soft"
6859,"0hard/66medium/2175soft"
6870,"0hard/71medium/2170soft"
6915,"0hard/71medium/2176soft"
6923,"0hard/71medium/2190soft"
7033,"0hard/71medium/2201soft"
7221,"0hard/71medium/2209soft"
7232,"0hard/71medium/2215soft"
7271,"0hard/71medium/2220soft"
7322,"0hard/71medium/2223soft"
7335,"0hard/71medium/2229soft"
7451,"0hard/71medium/2235soft"
7451,"0hard/71medium/2249soft"
7475,"0hard/71medium/2254soft"
7647,"0hard/71medium/2258soft"
7649,"0hard/71medium/2259soft"
7669,"0hard/71medium/2265soft"
7700,"0hard/71medium/2266soft"
8066,"0hard/71medium/2279soft"
8377,"0hard/71medium/2280soft"
8378,"0hard/71medium/2294soft"
8661,"0hard/71medium/2299soft"
9003,"0hard/71medium/2300soft"
9257,"0hard/71medium/2304soft"
9407,"0hard/71medium/2309soft"
9479,"0hard/71medium/2318soft"
9517,"0hard/71medium/2322soft"
9602,"0hard/80medium/2310soft"
15111,"0hard/80medium/2330soft"
15196,"0hard/80medium/2340soft"
15865,"0hard/80medium/2345soft"
19649,"0hard/80medium/2355soft"
