"timeMillisSpent","score"
3797,"-12hard/14medium/2414soft"
4260,"-12hard/28medium/2413soft"
4262,"-8hard/42medium/2393soft"
4265,"-8hard/57medium/2374soft"
4268,"-4hard/57medium/2354soft"
4271,"-4hard/66medium/2353soft"
4280,"-4hard/66medium/2373soft"
4282,"-4hard/71medium/2387soft"
4289,"-4hard/71medium/2401soft"
4309,"-4hard/80medium/2400soft"
4374,"-4hard/80medium/2405soft"
4528,"-4hard/80medium/2420soft"
4601,"-4hard/85medium/2340soft"
4621,"-4hard/85medium/2440soft"
14468,"-4hard/85medium/2455soft"
17246,"-4hard/85medium/2470soft"
